Date,Open,High,Low,Close,Volume
13-03-2019,114.129997,115,113.779999,114.5,35441800
12-03-2019,112.82,113.989998,112.650002,113.620003,26132700
11-03-2019,110.989998,112.949997,110.980003,112.830002,26491600
08-03-2019,109.160004,110.709999,108.800003,110.510002,22818400
07-03-2019,111.400002,111.550003,109.870003,110.389999,25339000
06-03-2019,111.870003,112.660004,111.43,111.75,17687000
05-03-2019,112.25,112.389999,111.230003,111.699997,19538300
04-03-2019,113.019997,113.25,110.800003,112.260002,26608000
01-03-2019,112.889999,113.019997,111.669998,112.529999,23501200
28-02-2019,112.040001,112.879997,111.730003,112.029999,29083900
27-02-2019,111.690002,112.360001,110.879997,112.169998,21487100
26-02-2019,111.260002,113.239998,111.169998,112.360001,21536700
25-02-2019,111.760002,112.18,111.260002,111.589996,23750600
22-02-2019,110.050003,111.199997,109.82,110.970001,27763200
21-02-2019,106.900002,109.480003,106.870003,109.410004,29063200
20-02-2019,107.860001,107.940002,106.290001,107.150002,21607700
19-02-2019,107.790001,108.660004,107.779999,108.169998,18038500
15-02-2019,107.910004,108.300003,107.360001,108.220001,26606900
14-02-2019,106.309998,107.290001,105.660004,106.900002,21784700
13-02-2019,107.5,107.779999,106.709999,106.809998,18394900
12-02-2019,106.139999,107.139999,105.480003,106.889999,25056600
11-02-2019,106.199997,106.580002,104.970001,105.25,18914100
08-02-2019,104.389999,105.779999,104.260002,105.669998,21461100
07-02-2019,105.190002,105.589996,104.290001,105.269997,29760700
06-02-2019,107,107,105.529999,106.029999,20609800
05-02-2019,106.059998,107.269997,105.959999,107.220001,27325400
04-02-2019,102.870003,105.800003,102.769997,105.739998,31315100
01-02-2019,103.779999,104.099998,102.349998,102.779999,35535700
31-01-2019,103.800003,105.220001,103.18,104.43,55636400
30-01-2019,104.620003,106.379997,104.330002,106.379997,49471900
29-01-2019,104.879997,104.970001,102.169998,102.940002,31490500
28-01-2019,106.260002,106.480003,104.660004,105.080002,29476700
25-01-2019,107.239998,107.879997,106.199997,107.169998,31225600
24-01-2019,106.860001,107,105.339996,106.199997,23164800
23-01-2019,106.120003,107.040001,105.339996,106.709999,25874300
22-01-2019,106.75,107.099998,104.860001,105.68,32371300
18-01-2019,107.459999,107.900002,105.910004,107.709999,37427600
17-01-2019,105,106.629997,104.760002,106.120003,28393000
16-01-2019,105.260002,106.260002,104.959999,105.379997,29853900
15-01-2019,102.510002,105.050003,101.879997,105.010002,31587600
14-01-2019,101.900002,102.870003,101.260002,102.050003,28437100
11-01-2019,103.190002,103.440002,101.639999,102.800003,28314200
10-01-2019,103.220001,103.75,102.379997,103.599998,30067600
09-01-2019,103.860001,104.879997,103.239998,104.269997,32280800
08-01-2019,103.040001,103.970001,101.709999,102.800003,31514400
07-01-2019,101.639999,103.269997,100.980003,102.059998,35656100
04-01-2019,99.720001,102.510002,98.93,101.93,44060600
03-01-2019,100.099998,100.190002,97.199997,97.400002,42579100
02-01-2019,99.550003,101.75,98.940002,101.120003,35329300
31-12-2018,101.290001,102.400002,100.440002,101.57,33173800
28-12-2018,102.089996,102.410004,99.519997,100.389999,38196300
27-12-2018,99.300003,101.190002,96.400002,101.18,49498500
26-12-2018,95.139999,100.690002,93.959999,100.559998,51634800
24-12-2018,97.68,97.970001,93.980003,94.129997,43935200
21-12-2018,101.629997,103,97.459999,98.230003,111242100
20-12-2018,103.050003,104.309998,98.779999,101.510002,70334200
19-12-2018,103.650002,106.879997,101.349998,103.690002,68198200
18-12-2018,103.75,104.510002,102.519997,103.970001,49319200
17-12-2018,105.410004,105.800003,101.709999,102.889999,56957300
14-12-2018,108.25,109.260002,105.5,106.029999,47043100
13-12-2018,109.580002,110.870003,108.629997,109.449997,31333400
12-12-2018,110.889999,111.269997,109.040001,109.080002,36183000
11-12-2018,109.800003,110.949997,107.440002,108.589996,42381900
10-12-2018,104.800003,107.980003,103.889999,107.589996,40801500
07-12-2018,108.379997,109.449997,104.300003,104.82,45044900
06-12-2018,105.82,109.239998,105,109.190002,49107400
04-12-2018,111.940002,112.639999,108.209999,108.519997,45197000
03-12-2018,113,113.419998,110.730003,112.089996,34732800
30-11-2018,110.699997,110.970001,109.360001,110.889999,33665600
29-11-2018,110.330002,111.120003,109.029999,110.190002,28123200
28-11-2018,107.889999,111.330002,107.860001,111.120003,46788500
27-11-2018,106.269997,107.330002,105.360001,107.139999,29124500
26-11-2018,104.790001,106.629997,104.580002,106.470001,32336200
23-11-2018,102.169998,103.809998,102,103.07,13823100
21-11-2018,103.599998,104.43,102.239998,103.110001,28130600
20-11-2018,101.800003,102.970001,99.349998,101.709999,64052500
19-11-2018,108.269997,108.559998,103.550003,104.620003,44773900
16-11-2018,107.080002,108.879997,106.800003,108.290001,33502100
15-11-2018,104.989998,107.800003,103.910004,107.279999,38505200
14-11-2018,108.099998,108.260002,104.470001,104.970001,39495100
13-11-2018,107.550003,108.739998,106.639999,106.940002,35374600
12-11-2018,109.419998,109.959999,106.099998,106.870003,33621800
09-11-2018,110.849998,111.449997,108.760002,109.57,32039200
08-11-2018,111.800003,112.209999,110.910004,111.75,25644100
07-11-2018,109.440002,112.239998,109.400002,111.959999,37901700
06-11-2018,107.379997,108.839996,106.279999,107.720001,24340200
05-11-2018,106.370003,107.739998,105.900002,107.510002,27922100
02-11-2018,106.480003,107.32,104.980003,106.160004,37680200
01-11-2018,107.050003,107.32,105.529999,105.919998,33384200
31-10-2018,105.440002,108.139999,105.389999,106.809998,51062400
30-10-2018,103.660004,104.379997,100.110001,103.730003,65350900
29-10-2018,108.110001,108.699997,101.629997,103.849998,55162000
26-10-2018,105.690002,108.75,104.760002,106.959999,55523100
25-10-2018,106.550003,109.269997,106.150002,108.300003,61646800
24-10-2018,108.410004,108.489998,101.589996,102.32,63897800
23-10-2018,107.769997,108.970001,105.110001,108.099998,43770400
22-10-2018,109.32,110.540001,108.239998,109.629997,26545600
19-10-2018,108.93,110.860001,108.209999,108.660004,32785500
18-10-2018,110.099998,110.529999,107.830002,108.5,32506200
17-10-2018,111.68,111.809998,109.550003,110.709999,26548200
16-10-2018,109.540001,111.410004,108.949997,111,31610200
15-10-2018,108.910004,109.480003,106.949997,107.599998,32068100
12-10-2018,109.010002,111.239998,107.120003,109.57,47742100
11-10-2018,105.349998,108.93,104.199997,105.910004,63904300
10-10-2018,111.239998,111.5,105.790001,106.160004,61376300
09-10-2018,111.139999,113.080002,110.800003,112.260002,26198600
08-10-2018,111.660004,112.029999,109.339996,110.849998,29640600
05-10-2018,112.629997,113.169998,110.639999,112.129997,29068900
04-10-2018,114.610001,114.760002,111.629997,112.790001,34821700
03-10-2018,115.419998,116.18,114.93,115.169998,16648000
